,description,charge
7931,SCREW CORTEX 2.4X12 LP AR872412,629
7932,SCREW CORTEX 2.4X12MM ST 201762,285
7933,SCREW CORTEX 2.4X13MM ST 201.763,321
7934,SCREW CORTEX 2.4X18MM ST 201768,285
7935,SCREW CORTEX 2.7MM/18MM (202.818),137
7936,SCREW CORTEX 2.7X12MM ST 202872,190
7937,SCREW CORTEX 2.7X14MM ST 202874,190
7938,SCREW CORTEX 2.7X18MM ST 202.878,190
7939,SCREW CORTEX 2X10 ST 201810,230
7940,SCREW CORTEX 2X10MM ST 20136097,189
7941,SCREW CORTEX 2X11 ST,216
7942,SCREW CORTEX 2X11MM ST 20136197,211
7943,SCREW CORTEX 2X12MM ST 20136297,189
7944,SCREW CORTEX 2X13MM ST 20136397,211
7945,SCREW CORTEX 2X14MM ST 20136497,189
7946,SCREW CORTEX 2X18 ST 201818,222
7947,SCREW CORTEX 2X22MM ST 20137297,189
7948,SCREW CORTEX 2X24MM ST 20137497,189
7949,SCREW CORTEX 2X8MM ST 20135897,189
7950,SCREW CORTEX 2X9 ST 201809,230
7951,SCREW CORTEX 2X9MM ST 20135997,189
7952,SCREW CORTEX 3.5 X 28MM SELF,139
7953,SCREW CORTEX 3.5 X 34MM SLF TAP,139
7954,SCREW CORTEX 3.5MMX14MM SELF TAP,131
7955,SCREW CORTEX 3.5MMX24MM SELF TAP,131
7956,SCREW CORTEX 3.5X16MM SELF TAP,131
7957,SCREW CORTEX 3.5X18 LP ST02206218,248
7958,SCREW CORTEX 3.5X22 02206222,239
7959,SCREW CORTEX 3.5X24 02206224,239
7960,SCREW CORTEX 3.5X26MM SELF TAP,131
7961,SCREW CORTEX 3.5X32MM SELF TAPPIN,139
7962,SCREW CORTEX 3.5X38MM SELF TAP,139
7963,SCREW CORTEX 3.5X40MM SELF TAPPIN,139
7964,SCREW CORTEX 3.5X45MM SELF TAPPIN,131
7965,SCREW CORTEX 3.5X50MM ST 02206250,239
7966,SCREW CORTEX 3.5X56 LP ST02206256,248
7967,SCREW CORTEX 4.5/32MM S (214.832),123
7968,SCREW CORTEX 4.5/36MM S (214.836),127
7969,SCREW CORTEX LCP1.5X10MM 02214110,239
7970,SCREW CORTEX ST 2X16 201816,216
7971,SCREW CORTEX ST 2X8 201808,182
7972,SCREW CORTEX W.YX16MM ST 202876,190
7973,SCREW CORTEX4.5/40MM SELF TAP,127
7974,SCREW CORTI 4.5/42MM TI AR1338042,511
7975,SCREW CORTIC 3.5 X 18MM SELF TAPP,131
7976,SCREW CORTICAL 3.5MMX12MM SELF T,131
7977,SCREW CORTICAL 3.5X20MM SELF TAP,153
7978,SCREW CORTICAL6.5X20MM00625006520,571
7979,SCREW CREWO 5.5 LP 11190110,"2,464"
7980,SCREW CROSSDRIVE 2.7X10 256771091,591
7981,SCREW CROSSDRIVE 2.7X11 257741191,841
7982,SCREW CROSSDRIVE 2.7X13 257741391,841
7983,SCREW CROSSDRIVE 2.7X15 257741591,841
7984,SCREW CROSSDRIVE 2.7X9 257740991,841
7985,SCREW CROSSDRIVE2.7X17 257741791,841
7986,SCREW CROSSDRIVE3.2X12 256775291,652
7987,SCREW DISTAL 2.7X16 SC2716,520
7988,SCREW EMER 1.7X4MM 50-17304,444
7989,SCREW EMERG 1.9X4MM 400854,501
7990,SCREW EQUINOXE 4.5X34 LOCK3202034,587
7991,SCREW EQUINOXE 4.5X42 LOCK3202042,587
7992,SCREW EQUINOXE 4.5X86 LOCK3202026,587
7993,SCREW EQUINOXE TORQUE KIT 3202000,"1,320"
7994,SCREW ES2 6.5X45 482804645,"8,553"
7995,SCREW ES2 7.5X40 482804740,"8,553"
7996,SCREW ES2 7.5X40 CANN 482802740,"8,553"
7997,SCREW FENESTRAT TFNA 95 04038195S,"5,883"
7998,SCREW FIBERLOCK 3.5X45 CO3545DS,"1,839"
7999,SCREW FIBULOCK 2.7X14 SC2714S,730
8000,SCREW FIBULOCK 2.7X16 SC2716S,730
8001,SCREW FIBULOCK 3.5X50 CO3550DS,"1,839"
8002,SCREW FIBULOCK 3.5X55 CO3555DS,"1,839"
8003,SCREW FIXOS 2X11MM SD WS11,"1,539"
8004,SCREW FIXOS 2X12MM SD WS12,"1,539"
8005,SCREW FIXOS 2X13 SD WS13,"1,442"
8006,SCREW FIXOS 2X14 SD WS14,"1,442"
8007,SCREW FIXOS 2X15 WS15,"1,442"
8008,SCREW FIXOS COMP 4X22 658022,"1,670"
8009,SCREW FIXOS COMP 4X24 658024,"1,670"
8010,SCREW FIXOS COMP 4X26 658026,"2,960"
8011,SCREW FIXOS COMP 4X28 658028,"2,960"
8012,SCREW FIXOS COMP 4X30 658030,"1,782"
8013,SCREW FIXOS COMP 4X32 658032,"2,960"
8014,SCREW FIXOS COMP 4X34 658034,"1,670"
8015,SCREW FIXOS COMP 4X36 658036,"2,960"
8016,SCREW FIXOS COMP 4X38 658038,"1,782"
8017,SCREW FIXOS COMP 4X40 658040,"1,782"
8018,SCREW FIXOS COMP 4X42 658042,"1,670"
8019,SCREW FIXOS COMP 4X44 658044,"1,670"
8020,SCREW FIXOS COMP 4X46 658046,"1,782"
8021,SCREW FIXOS COMP 4X50 658050,"1,670"
8022,SCREW FIXOS COMP 5X44 658144,"1,670"
8023,SCREW FIXOS COMP 7X60 658360,"1,670"
8024,SCREW FIXOS COMP 7X65 658365,"1,670"
8025,SCREW FIXOS COMP 7X65 658565,"2,960"
8026,SCREW FIXOS COMP 7X70 658370,"2,960"
8027,SCREW FIXOS COMP 7X75 658375,"2,960"
8028,SCREW FIXOS COMP 7X80 SHT 658380,"2,960"
8029,SCREW FIXOS COMP 7X85 ST 658385,"2,960"
8030,SCREW FIXOS COMP CANN 4X36 MV36A,"1,442"
8031,SCREW FIXOS COMPR 7X55MM 658355S,"1,782"
8032,SCREW FT CANC 6X60 608060,280
8033,SCREW FT CANC 6X65 608065,200
8034,SCREW FT CANC 6X75 608075,280
8035,SCREW FUJI 4.35X14 ST 1214314,"1,524"
8036,SCREW FUJI 4.35X16 ST 1364316,"1,524"
8037,SCREW FUJI 4X16 SD 1124016,"1,524"
8038,SCREW FUJI SD 4.35X12 1114312,"1,693"
8039,SCREW FUJI SD 4.35X12 1124312,"1,524"
8040,SCREW FUJI SD 4.35X14 1114314,"1,524"
8041,SCREW FUJI SD 4.35X14 1124314,"1,524"
8042,SCREW FUJI SD 4.3X16 1124316,"1,524"
8043,SCREW FUJI SD 4X12 1124012,"1,524"
8044,SCREW FUJI SD 4X14 1124014,"1,524"
8045,SCREW FUJI ST 4.35X12 1214312,"1,524"
8046,SCREW FUJI ST 4X12 1224012,"1,524"
8047,SCREW FUJI ST 4X14 1214014,"1,524"
8048,SCREW FUJI ST 4X14 1364014,"1,524"
8049,SCREW GAMMA 8X17.5MM SET,845
8050,SCREW GAMMA LAG 010.5X105MM,"2,367"
8051,SCREW HD MIS QUAD 33MM00598304033,712
8052,SCREW HEADED 48MM LENGTH UNICOMPA,713
8053,SCREW HEADLESS 2X18 ST P20525018S,"1,817"
8054,SCREW HEADLESS 3X20 IH3020,"1,888"
8055,SCREW HEADLESS 3X40MM 02226140,"2,246"
8056,SCREW HEADLESS 6.5X50 AR86651850,"3,357"
8057,SCREW HEADLESS COMP2.5X24AR862524,"1,605"
8058,SCREW HEADLESS COMP2.5X26AR862526,"1,605"
8059,SCREW HEADLS COMP6.5X40AR86651840,"3,357"
8060,SCREW HEADLSSCOMP6.5X45AR86651845,"3,357"
8061,SCREW HEXALOBE 3.5X22 NL 300239,613
8062,SCREW HEXALOBE 3.5X28 NL 300265,379
8063,SCREW HEXALOBE 3.5X8 LOCK 300232,613
8064,SCREW HEXALOBE 3.5X8 NL 300255,379
8065,SCREW HIP LOW PRF 35MM 103534,648
8066,SCREW ILIOS MED 8.5X60 4823718560,"8,553"
8067,SCREW ILIOS POLYAX 10.5X40 482311,"8,553"
8068,SCREW ILIOS XIA 8.5X40 482318540,"8,553"
8069,SCREW ILIOSPOLYAX8.5X60 482388560,"8,553"
8070,SCREW INFINITY 3.5X14 3603514,"5,825"
8071,SCREW INFINITY 4X26 3604026,"5,825"
8072,SCREW INTERF 6X25 72204392,"1,746"
8073,SCREW INTERF 9X30 ABSORB72201782,"1,565"
8074,SCREW INTERF MIL 9X23MM 231818,"1,963"
8075,SCREW INTERF MILAGRO7X23 231816,"1,963"
8076,SCREW INTERF MILAGRO8X23 231817,"1,963"
8077,SCREW INTERFERENCE 10X23 231819,"1,963"
8078,SCREW LAG 10.5X105 HIP 814510105,"3,404"
8079,SCREW LAG 105MM STAN (3362-5-105),"1,288"
8080,SCREW LAG 13X100 33625100,"1,272"
8081,SCREW LAG 13X110 33625110,"1,272"
8082,SCREW LAG 13X90 33625090,"1,357"
8083,SCREW LAG 6.5MMX100MM,"1,191"
8084,SCREW LAG 6.5X115 18976115S,974
8085,SCREW LAG 6.5X90MM 18976095S,"1,191"
8086,SCREW LAG 75MM,"2,367"
8087,SCREW LAG 80MM (1897-6080S),"1,191"
8088,SCREW LAG GAMMA 10.5X100MM,"2,367"
8089,SCREW LAG GAMMA 10.5X110MM,"2,367"
8090,SCREW LAG GAMMA 105X85MM(30600008,"2,367"
8091,SCREW LAG GAMMA 3 10.5X80MM,"2,367"
8092,SCREW LAG GAMMA 3 10.5X90MM,"2,367"
8093,SCREW LAG RECON 85 M (1897-6085S),"1,191"
8094,SCREW LAG RECON 90MM (1897-6090S),"1,191"
8095,SCREW LATARJET 34MM 288225,"1,290"
8096,SCREW LATARJET 36MM 288226,"1,290"
8097,SCREW LATARJET TOP HAT 288231,"1,389"
8098,SCREW LCK 2.7X12MM AR8827L12,633
8099,SCREW LCK 2.7X18MM AR8827L18,633
8100,SCREW LCK 2.7X20MM AR8827L20,633
8101,SCREW LCK 3.5X12MM AR8835L12,663
8102,SCREW LCK VAR 2.3X8MM 5323008E,425
8103,SCREW LCK VAR 2.7X16MM 4027616,617
8104,SCREW LCOKING 2.7MM X 1 (202.212),628
8105,SCREW LCOKING 5.0MM (04.005.560S),"1,335"
8106,SCREW LCOKING AXSOS 5X22MM 371332,792
8107,SCREW LEG 7.5X45MM 7577545,"10,249"
8108,SCREW LEGACY 5.5X35 ST 6543535,"6,445"
8109,SCREW LEGACY 5.5X40 ST 6543540,"6,445"
8110,SCREW LEGACY 6.5X35 ST 6543635,"6,445"
8111,SCREW LEGACY 6.5X40 ST 6543640,"6,445"
8112,SCREW LEGACY 6.5X50 CANN 7576550,"10,249"
8113,SCREW LEGACY 7.5X30 7577530,"9,234"
8114,SCREW LEGION 5DX5P,"5,153"
8115,SCREW LEGION SZ3 71421723,"4,641"
8116,SCREW LEV ONE 2.7X14 256771491,473
8117,SCREW LEVEL1 2.7X7 257740791,673
8118,SCREW LGN DIS FEM WEDGE SZ 5 5MM,"5,153"
8119,SCREW LGN DIS FEM WEDGE SZ2 10MM,"5,153"
8120,SCREW LGN DIS FEM WEDGE SZ3 5MM,"5,153"
8121,SCREW LOCK 2.4 X18MM FT02.210.118,726
8122,SCREW LOCK 2.4X10MM 02210110,819
8123,SCREW LOCK 2.4X12 FT 656012,781
8124,SCREW LOCK 2.4X12MM FT 02210112,819
8125,SCREW LOCK 2.4X14 FT 656014,781
8126,SCREW LOCK 2.4X14MM FT 02.210.114,726
8127,SCREW LOCK 2.4X16MM FT 02.210.116,726
8128,SCREW LOCK 2.4X20MM FT 02.210.120,726
8129,SCREW LOCK 2.4X20MM ST 212.820,606
8130,SCREW LOCK 2.4X22MM FT 02210122,782
8131,SCREW LOCK 2.4X24MM 02210124,782
8132,SCREW LOCK 2.7X10 FT 656310,586
8133,SCREW LOCK 2.7X10 ST 02211010,887
8134,SCREW LOCK 2.7X10 VAR 657010,865
8135,SCREW LOCK 2.7X12MM ST 02211012,918
8136,SCREW LOCK 2.7X14 VAR 657014,865
8137,SCREW LOCK 2.7X14MM 614514,687
8138,SCREW LOCK 2.7X14MM ST 02211014,946
8139,SCREW LOCK 2.7X16 ST 02211016,946
8140,SCREW LOCK 2.7X16 VAR 657016,865
8141,SCREW LOCK 2.7X18MM ST 02211018,918
8142,SCREW LOCK 2.7X20MM ST 02211020,918
8143,SCREW LOCK 2.7X22MM ST 02211024,946
8144,SCREW LOCK 2.7X28 FT 656328,586
8145,SCREW LOCK 2.7X36MM ST 02211036,918
8146,SCREW LOCK 2.7X40 ST 02211040,946
8147,SCREW LOCK 2.7X42MM ST 02211042,946
8148,SCREW LOCK 2.7X56MM 02211056,946
8149,SCREW LOCK 2.9X10 0450102001,"1,165"
8150,SCREW LOCK 2X10MM ST 201880,711
8151,SCREW LOCK 2X11MM ST 201881,711
8152,SCREW LOCK 2X12MM ST 201.882,679
8153,SCREW LOCK 2X14MM ST 201884,710
8154,SCREW LOCK 2X16MM ST 201886,711
8155,SCREW LOCK 3.5X12MM 300234,579
8156,SCREW LOCK 3.5X16 00236901635,670
8157,SCREW LOCK 3.5X20 00236902035,670
8158,SCREW LOCK 3.5X24 00235902438,670
8159,SCREW LOCK 3.5X26 00236902635,670
8160,SCREW LOCK 3.5X26 AR8935L26,486
8161,SCREW LOCK 3.5X26 VAR 657326,865
8162,SCREW LOCK 3.5X28 00236902835,670
8163,SCREW LOCK 3.5X30 AR8935L30,486
8164,SCREW LOCK 3.5X30MM 614630,953
8165,SCREW LOCK 3.5X34 00236903435,670
8166,SCREW LOCK 3.5X34 VAR 657334,865
8167,SCREW LOCK 3.5X36 00235903638,670
8168,SCREW LOCK 3.5X38MM 614638,953
8169,SCREW LOCK 3.5X42 VAR 657342,865
8170,SCREW LOCK 3.5X42MM 614642,953
8171,SCREW LOCK 3.5X44 0023904435,670
8172,SCREW LOCK 3.5X48MM ST STAR 21212,664
8173,SCREW LOCK 3.5X50MM T10 614650,953
8174,SCREW LOCK 3.5X55 VAR 657355,865
8175,SCREW LOCK 3.5X8MM ST 614608,724
8176,SCREW LOCK 4.5X41MM DWD041,"1,251"
8177,SCREW LOCK 4.75X20 180551,"1,354"
8178,SCREW LOCK 4.75X25 180552,"1,354"
8179,SCREW LOCK 4.75X30 180553,"1,419"
8180,SCREW LOCK 4.75X35 180554,"1,419"
8181,SCREW LOCK 40X5MM 212214,662
8182,SCREW LOCK 4X34MM FT 18964034S,885
8183,SCREW LOCK 4X38MM ST 371538,689
8184,SCREW LOCK 4X50MM FT 18964050S,885
8185,SCREW LOCK 4X60 FT 18964060S,740
8186,SCREW LOCK 5.0X65MM 370365,573
8187,SCREW LOCK 5X12MM ST 02231012,"1,700"
8188,SCREW LOCK 5X50 FT 04005550,"1,093"
8189,SCREW LOCK 5X52 FT 18965052S,762
8190,SCREW LOCK 5X55MM ST 370355,573
8191,SCREW LOCK 5X57.5MM FT 18965057S,885
8192,SCREW LOCK 5X74MM FT 04005564S,"1,379"
8193,SCREW LOCK AEQ 4.5X20MM DWD020,808
8194,SCREW LOCK ANCHORAGE3X14 PLSL3014,774
8195,SCREW LOCK ANCHORAGE3X16 PLSL3016,774
8196,SCREW LOCK ANCHORAGE3X18 PLSL3018,774
8197,SCREW LOCK ANCHORAGE3X20 PLSL3020,774
8198,SCREW LOCK ANCHORAGE3X22 PLSL3022,774
8199,SCREW LOCK AXSOS 3.5X34 661434,117
8200,SCREW LOCK AXSOS 4X14MM 661014,739
8201,SCREW LOCK AXSOS 4X16 661016,739
8202,SCREW LOCK AXSOS 4X18 661018,739
8203,SCREW LOCK AXSOS 4X18MM ST 371518,689
8204,SCREW LOCK AXSOS 4X20 661020,739
8205,SCREW LOCK AXSOS 4X22 661022,739
8206,SCREW LOCK AXSOS 4X24 661024,739
8207,SCREW LOCK AXSOS 4X26 661026,739
8208,SCREW LOCK AXSOS 4X28 661028,739
8209,SCREW LOCK AXSOS 4X30 661030,531
8210,SCREW LOCK AXSOS 4X32 661032,739
8211,SCREW LOCK AXSOS 4X34MM 661034,567
8212,SCREW LOCK AXSOS 4X36MM 661036,739
8213,SCREW LOCK AXSOS 4X36MM ST 371536,689
8214,SCREW LOCK AXSOS 4X38MM 661038,739
8215,SCREW LOCK AXSOS 4X40MM 661040,739
8216,SCREW LOCK AXSOS 4X42MM 661042,739
8217,SCREW LOCK AXSOS 4X44 661044,739
8218,SCREW LOCK AXSOS 4X46 661046,739
8219,SCREW LOCK AXSOS 4X48 661048,739
8220,SCREW LOCK AXSOS 4X50 661050,739
8221,SCREW LOCK AXSOS 4X60 661060,739
8222,SCREW LOCK AXSOS 4X60MM ST 371560,689
8223,SCREW LOCK AXSOS 4X65 661065,531
8224,SCREW LOCK AXSOS 4X70 661070,567
8225,SCREW LOCK AXSOS 4X75MM 371575,689
8226,SCREW LOCK AXSOS 4X80 661080,167
8227,SCREW LOCK AXSOS 4X85 661085,167
8228,SCREW LOCK AXSOS 4X90 661090,739
8229,SCREW LOCK AXSOS 5X18 661118,786
8230,SCREW LOCK AXSOS 5X20 661120,786
8231,SCREW LOCK AXSOS 5X22 661122,786
8232,SCREW LOCK AXSOS 5X28 661128,786
8233,SCREW LOCK AXSOS 5X32 661132,786
8234,SCREW LOCK AXSOS 5X34 661134,786
8235,SCREW LOCK AXSOS 5X36MM 661136,839
8236,SCREW LOCK AXSOS 5X40 661140,786
8237,SCREW LOCK AXSOS 5X42 TI 661142,786
8238,SCREW LOCK AXSOS 5X42MM 371342,792
8239,SCREW LOCK AXSOS 5X46 661146,786
8240,SCREW LOCK AXSOS 5X48MM ST 371348,627
8241,SCREW LOCK AXSOS 5X50 661150,785
8242,SCREW LOCK AXSOS 5X50MM ST 371350,792
8243,SCREW LOCK AXSOS 5X55 661155,786
8244,SCREW LOCK AXSOS 5X60 661160,786
8245,SCREW LOCK AXSOS 5X65 661165,786
8246,SCREW LOCK AXSOS 5X70MM 661170,839
8247,SCREW LOCK AXSOS 5X75MM 661175,839
8248,SCREW LOCK AXSOS 5X80 661180,786
8249,SCREW LOCK AXSOS 5X85 661185,786
8250,SCREW LOCK AXSOS 5X90 661190,786
8251,SCREW LOCK AXSOS5X55MM ST 371355,792
8252,SCREW LOCK EQUINOXE GLEN3201505,587
8253,SCREW LOCK FT 2.7 656322,586
8254,SCREW LOCK GEMIN3.5X13COLS35130TS,605
8255,SCREW LOCK HEX 3.5X16MM 300236,603
8256,SCREW LOCK HEXALOB 3.5X18 300237,595
8257,SCREW LOCK SXSOS 4X75MM 661075,567
8258,SCREW LOCK T2 5X25MM FT 18965025S,845
8259,SCREW LOCK VAR 2.3X10MM 5323010E,413
8260,SCREW LOCK VAR 2.3X11MM 5323011E,413
8261,SCREW LOCK VAR 2.7X10MM 5327610E,526
8262,SCREW LOCK VAR 2.7X20MMFT532762OE,704
8263,SCREW LOCK VAR 2.7X30 FT 4027630,593
8264,SCREW LOCK VAR 2.7X32 4027632,556
8265,SCREW LOCK VAR 27X28 4027628,556
8266,SCREW LOCK VAR 3.5X65 FT 657365,455
8267,SCREW LOCK VAR2.7X26MMFT53-27626E,704
8268,SCREW LOCK VARIAX 2.7X20MM4027620,632
8269,SCREW LOCK VARIAX 2.7X24MM4027624,632
8270,SCREW LOCK VARIAX 2.7X26MM4027626,632
8271,SCREW LOCK VARIAX2.3X12MM5323012E,413
8272,SCREW LOCK VARIAX2.3X14MM5323014E,339
8273,SCREW LOCK VARIAX2.3X16MM5323016E,339
8274,SCREW LOCK VARIAX2.7X12MM5327612E,704
8275,SCREW LOCK VARIAX2.7X24MM5327624E,704
8276,SCREW LOCKAXSOS 4X46 607346,739
8277,SCREW LOCKING 10.5X95MM,"2,367"
8278,SCREW LOCKING 2.4 X 14M (212.814),698
8279,SCREW LOCKING 2.4 X 16M (212.816),698
8280,SCREW LOCKING 2.4 X 18M (212.818),698
8281,SCREW LOCKING 2.4MM X 1 (212.812),698
8282,SCREW LOCKING 2.4X6MM ST 212806,606
8283,SCREW LOCKING 2.7MMX14MM,620
8284,SCREW LOCKING 3.5/10MM,764
8285,SCREW LOCKING 3.5/14MM 212103,664
8286,SCREW LOCKING 3.5/20MM SELF TAPPI,664
8287,SCREW LOCKING 3.5/50MM SELF TAP,764
8288,SCREW LOCKING 3.5MM/16MM SELF TAP,764
8289,SCREW LOCKING 3.5MM/18MM SELF TAP,664
8290,SCREW LOCKING 3.5MM/30MM SELF TAP,764
8291,SCREW LOCKING 3.5MM/36MM SELF TAP,764
8292,SCREW LOCKING 3.5X10MM 614610,953
8293,SCREW LOCKING 3.5X12 614612,889
8294,SCREW LOCKING 3.5X14MM NS 614614,953
8295,SCREW LOCKING 3.5X16MM NS 614616,953
8296,SCREW LOCKING 3.5X18MM NS 614618,953
8297,SCREW LOCKING 3.5X20MM 614620,953
8298,SCREW LOCKING 3.5X22MM 614622,953
8299,SCREW LOCKING 3.5X24MM 614624,889
8300,SCREW LOCKING 3.5X28MM 614628,889
8301,SCREW LOCKING 3.5X36MM 614636,889
8302,SCREW LOCKING 3.5X40MM 614640,889
8303,SCREW LOCKING 4.0XX34MM,689
8304,SCREW LOCKING 4.5X23MM DWD023,769
8305,SCREW LOCKING 4.5X24MM METAGLENE,"1,459"
8306,SCREW LOCKING 4.5X26MM DWD026,876
8307,SCREW LOCKING 4.5X29MM DWD029,769
8308,SCREW LOCKING 4.5X30MM METAGLENE,"1,749"
8309,SCREW LOCKING 4.5X32MM DWD032,769
8310,SCREW LOCKING 4.5X35MM,769
8311,SCREW LOCKING 4.5X36MM METAGLENE,"1,459"
8312,SCREW LOCKING 4.5X38MM DWD038,519
8313,SCREW LOCKING 4.5X42MM METAGLENE,"1,749"
8314,SCREW LOCKING 4.5X44MM,769
8315,SCREW LOCKING 4.5X48MM METAGLENE,"1,459"
8316,SCREW LOCKING 4X28MM 371528,689
8317,SCREW LOCKING 4X30MM 371530,689
8318,SCREW LOCKING 4X55MM FT 18964055S,885
8319,SCREW LOCKING 5.0MM (04.005.524S),"1,335"
8320,SCREW LOCKING 5.0MM (04.005.532S),"1,335"
8321,SCREW LOCKING 5.0MM X 32MM STERIL,"1,335"
8322,SCREW LOCKING 5.0MM/36MM STARDRIV,"1,335"
8323,SCREW LOCKING 5.0MM/38MM STARDRIV,"1,335"
8324,SCREW LOCKING 5.0X50MM,"1,161"
8325,SCREW LOCKING 5/30MM F/T,885
8326,SCREW LOCKING 5/65MM T2 STERILE,885
8327,SCREW LOCKING 5MMX75MM,885
8328,SCREW LOCKING 5X27.5MM 18965027S,885
8329,SCREW LOCKING 5X32.5MM,885
8330,SCREW LOCKING 5X37.5,885
8331,SCREW LOCKING 5X42.5MM,885
8332,SCREW LOCKING 5X45MM FT 18965045,726
8333,SCREW LOCKING 5X47.5MM,885
8334,SCREW LOCKING 5X60MM 18965060S,885
8335,SCREW LOCKING 70MM FULLY THREADED,885
8336,SCREW LOCKING 75MM/5.0,"1,222"
8337,SCREW LOCKING AXSOS 4X44MM371544,689
8338,SCREW LOCKING AXSOS 4X46MM371546,689
8339,SCREW LOCKING AXSOS 4X48MM371548,689
8340,SCREW LOCKING AXSOS 5X24MM 371324,792
8341,SCREW LOCKING AXSOS 5X38MM371338,792
8342,SCREW LOCKING AXSOS 5X46MM371346,"1,055"
8343,SCREW LOCKING CAN 5.0MM/65MM,"1,222"
8344,SCREW LOCKING CANNULATED 5MM/60MM,978
8345,SCREW LOCKING F/T 5/45MM,885
8346,SCREW LOCKING F/T 5/50MM,885
8347,SCREW LOCKING FULLY THREAD 5X40MM,885
8348,SCREW LOCKING T10 3.5X20MM4035620,682
8349,SCREW LOCKING T10 3.5X24MM4035624,682
8350,SCREW LOCKING T10 3.5X28MM4035628,682
8351,SCREW LOCKING T2 4X24MM FULL THRE,829
8352,SCREW LOCKING T2 5.0/55MM STERILE,885
8353,SCREW LOCKING T2 5.0/85MM STERILE,885
8354,SCREW LOCKING T2 5/80MM,885
8355,SCREW LOCKING T2/FT 4MMX40MM STER,885
8356,SCREW LOCKING T7 2.7X14MM 4027614,632
8357,SCREW LOCKING T7 2.7X8MM 4027608,632
8358,SCREW LOCKING VAR2.7X14MM5327614E,940
8359,SCREW LOCKING VAR2.7X16MM5327616E,704
8360,SCREW LOCKING VAR2.7X18MM5327618E,704
8361,SCREW LOCKING VAR2.7X22MM5327622E,940
8362,SCREW LOCKING W/SHAFT 18915045S,885
8363,SCREW LOCKING5.0MM/46MM STARDRIVE,"1,335"
8364,SCREW LOW PROFILE 5MM SELF DRILL,412
8365,SCREW LP 3.5X20 LOCK AR8835L20,671
8366,SCREW LP 3.5X28 AR893528,321
8367,SCREW LP 3.5X36 AR893536,350
8368,SCREW LP 3.5X40 AR893540,350
8369,SCREW LP 4.5X28 AR8545L28,"1,138"
8370,SCREW LP 4X22 AR894022,321
8371,SCREW LP 4X40 LT AR8840CL40,876
8372,SCREW LP 4X42 CANN AR8840CL42,876
8373,SCREW LP 4X50 CANN LT AR8840CL50,876
8374,SCREW LP 6.5X20 70306520,283
8375,SCREW LP 6.5X30 70306530,283
8376,SCREW LP 6.7X50 CANN AR89671850,"1,284"
8377,SCREW LP 6.7X70 CANN AR89671870,"1,460"
8378,SCREW LP CANN 4.5X40 AR894540PT,876
8379,SCREW LP CANN 4.5X45 AR894545PT,876
8380,SCREW LP CORT 2.4X10 AR872410,629
8381,SCREW LP CORT 3.5X18 AR893518,321
8382,SCREW LP CORT 3.5X20 AR883520,204
8383,SCREW LP CORT 3.5X27MM AR883528,218
8384,SCREW LP CORT 3.5X30 AR883530,204
8385,SCREW LP CORT 3.5X35 AR883535,204
8386,SCREW LP CORT TI 3X16 AR893316,642
8387,SCREW LP HEX 6.5X25 70306525,283
8388,SCREW LP LOCK 3.5X20 AR8935L20,434
8389,SCREW LP LOCK 3.5X36 AR8935L36,438
8390,SCREW LP N L3.5X30 AR893530,319
8391,SCREW LP NL 3.5X20 AR893520,321
8392,SCREW LP NL 3.5X26 AR893526,321
8393,SCREW LP NL 3.5X34 AR893534,321
8394,SCREW LP NL COR T3.5X32 AR893532,319
8395,SCREW LP NL CORT 3.5X14 AR883514,204
8396,SCREW LP NL CORT 3.5X16 AR883516,218
8397,SCREW LP NL CORT 3.5X24 AR883524,204
8398,SCREW LP TI 4.5X34 AR854534,438
8399,SCREW LP TI 4.5X36 AR854536,438
8400,SCREW MAXDR 1.5X5 8780591,342
8401,SCREW MAXDR 2X11 258821191,701
8402,SCREW MAXDRIVE2X7 258820791,701
8403,SCREW MAXDRIVE2X9 258820991,701
8404,SCREW MEDIAL 4X24 4855424,"8,175"
8405,SCREW MEDIAL 4X28 48555428,"8,175"
8406,SCREW MEDIAL BIAS 3.5X20 48555320,"7,991"
8407,SCREW MEDIAL BIASED 4X22 48555422,"8,175"
8408,SCREW MEDIAL XIA7.5X35 4823717535,"8,553"
8409,SCREW MEDIAL XIA7.5X40 4823717540,"8,553"
8410,SCREW MICRO ACUTRAK 18.0,"2,527"
8411,SCREW MICRO BONE 20MM AT2C20S,"2,527"
8412,SCREW MILAGR 10X30 231823,"1,888"
8413,SCREW MILAGRO 11X30MM 231824,"1,888"
8414,SCREW MILAGRO 12X30 231832,"1,769"
8415,SCREW MILAGRO 7X30 231831,"1,888"
8416,SCREW MILAGRO 8X30 231821,"1,888"
8417,SCREW MILAGRO 9X30 231822,"1,888"
8418,SCREW MMF 12MM 5020362,735
8419,SCREW MMF 8MM 5020358,735
8420,SCREW MONZA 4.35X14 ST 1104314,"1,524"
8421,SCREW MONZA 4X14 ST 1354014,"1,524"
8422,SCREW MONZO 4.35X16 ST 1354316,"1,524"
8423,SCREW MULTIAXIAL SET 6950315,793
8424,SCREW NCB 5.5X55 ST 0202150055,"1,068"
8425,SCREW NCB 5.5X85 ST 0202150085,"1,068"
8426,SCREW NCB 5X10 UNICORT 0203151010,"1,016"
8427,SCREW NCB 5X100 0202150100,"1,068"
8428,SCREW NCB 5X14 UNICORT 023151014,"1,016"
